"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"incendio bh","1 mil+","7 de junho de 2026 às 13:30:00 UTC-3","7 de junho de 2026 às 14:30:00 UTC-3","incendio bh,incêndio belo horizonte","./explore?q=incendio%20bh&geo=BR"
"emerson fittipaldi","1 mil+","7 de junho de 2026 às 09:20:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","emerson fittipaldi","./explore?q=emerson%20fittipaldi&geo=BR"
"f1tv","500+","7 de junho de 2026 às 09:40:00 UTC-3","7 de junho de 2026 às 11:00:00 UTC-3","f1tv","./explore?q=f1tv&geo=BR"
"abertura da copa do mundo 2026","1 mil+","7 de junho de 2026 às 13:30:00 UTC-3","7 de junho de 2026 às 14:20:00 UTC-3","abertura da copa do mundo 2026","./explore?q=abertura%20da%20copa%20do%20mundo%202026&geo=BR"
"haaland","500+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","haaland","./explore?q=haaland&geo=BR"
"arvid lindblad","500+","7 de junho de 2026 às 11:40:00 UTC-3","7 de junho de 2026 às 12:50:00 UTC-3","arvid lindblad","./explore?q=arvid%20lindblad&geo=BR"
"beatriz haddad maia","1 mil+","7 de junho de 2026 às 09:20:00 UTC-3","7 de junho de 2026 às 10:10:00 UTC-3","beatriz haddad maia","./explore?q=beatriz%20haddad%20maia&geo=BR"
"abde ezzalzouli","500+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:20:00 UTC-3","abde ezzalzouli","./explore?q=abde%20ezzalzouli&geo=BR"
"monte carlo","500+","7 de junho de 2026 às 09:50:00 UTC-3","7 de junho de 2026 às 11:00:00 UTC-3","monte carlo","./explore?q=monte%20carlo&geo=BR"
"hakimi","500+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:10:00 UTC-3","hakimi","./explore?q=hakimi&geo=BR"
"kim kardashian e hamilton","500+","7 de junho de 2026 às 12:40:00 UTC-3","7 de junho de 2026 às 13:40:00 UTC-3","kim kardashian e hamilton","./explore?q=kim%20kardashian%20e%20hamilton&geo=BR"
"karol g","500+","7 de junho de 2026 às 10:40:00 UTC-3","7 de junho de 2026 às 11:40:00 UTC-3","karol g","./explore?q=karol%20g&geo=BR"
"kosovo","500+","7 de junho de 2026 às 15:40:00 UTC-3","7 de junho de 2026 às 16:20:00 UTC-3","kosovo","./explore?q=kosovo&geo=BR"
"ederson atlanta","500+","7 de junho de 2026 às 13:40:00 UTC-3","7 de junho de 2026 às 14:20:00 UTC-3","ederson atlanta","./explore?q=ederson%20atlanta&geo=BR"
"kevin costner","200+","8 de junho de 2026 às 00:20:00 UTC-3","8 de junho de 2026 às 00:40:00 UTC-3","kevin costner","./explore?q=kevin%20costner&geo=BR"
"john wick","500+","7 de junho de 2026 às 14:30:00 UTC-3","7 de junho de 2026 às 15:00:00 UTC-3","john wick","./explore?q=john%20wick&geo=BR"
"fable","500+","7 de junho de 2026 às 14:40:00 UTC-3","7 de junho de 2026 às 15:10:00 UTC-3","fable","./explore?q=fable&geo=BR"
